Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
5.27	15.2965	50
5.28	15.3121	50
5.29	15.3276	50
5.3	15.3432	50
5.31	15.3587	50
5.32	15.3741	50
5.33	15.3896	50
5.34	15.405	50
5.35	15.4204	50
5.36	15.4358	50
5.37	15.4512	50
5.38	15.4665	50
5.39	15.4818	50
5.4	15.4971	50
5.41	15.5123	50
5.42	15.5275	50
5.43	15.5427	50
5.44	15.5579	50
5.45	15.573	50
5.46	15.5882	50
5.47	15.6033	50
5.48	15.6183	50
5.49	15.6334	50
5.5	15.6484	50
5.51	15.6634	50
5.52	15.6784	50
5.53	15.6933	50
5.54	15.7082	50
5.55	15.7231	50
5.56	15.738	50
5.57	15.7528	50
5.58	15.7676	50
5.59	15.7824	50
5.6	15.7972	50
5.61	15.812	50
5.62	15.8267	50
5.63	15.8414	50
5.64	15.856	50
5.65	15.8707	50
5.66	15.8853	50
5.67	15.8999	50
5.68	15.9145	50
5.69	15.929	50
5.7	15.9436	50
5.71	15.9581	50
5.72	15.9726	50
5.73	15.987	50
5.74	16.0014	50
5.75	16.0159	50
5.76	16.0302	50
5.77	16.0446	50
5.78	16.0589	50
5.79	16.0732	50
5.8	16.0875	50
5.81	16.1018	50
5.82	16.116	50
5.83	16.1303	50
5.84	16.1444	50
5.85	16.1586	50
5.86	16.1728	50
5.87	16.1869	50
5.88	16.201	50
5.89	16.2151	50
5.9	16.2291	50
5.91	16.2431	50
5.92	16.2572	50
5.93	16.2711	50
5.94	16.2851	50
5.95	16.299	50
5.96	16.313	50
5.97	16.3269	50
5.98	16.3407	50
5.99	16.3546	50
6	16.3684	50
6.01	16.3822	50
6.02	16.396	50
6.03	16.4097	50
6.04	16.4235	50
6.05	16.4372	50
6.06	16.4509	50
6.07	16.4646	50
6.08	16.4782	50
6.09	16.4918	50
6.1	16.5054	50
6.11	16.519	50
6.12	16.5326	50
6.13	16.5461	50
6.14	16.5596	50
6.15	16.5731	50
6.16	16.5866	50
6.17	16.6	50
6.18	16.6134	50
6.19	16.6268	50
6.2	16.6402	50
6.21	16.6536	50
6.22	16.6669	50
6.23	16.6802	50
6.24	16.6935	50
6.25	16.7068	50
6.26	16.7201	50
6.27	16.7333	50
6.28	16.7465	50
6.29	16.7597	50
6.3	16.7729	50
6.31	16.786	50
6.32	16.7991	50
6.33	16.8122	50
6.34	16.8253	50
6.35	16.8384	50
