Time	VALVE 368	#5 Tank shape = vertical
	POSITION	OUT1
		TEMPERATURE
		`C
19.28	50	47.2068
19.29	50	47.2068
19.3	50	47.2068
19.31	50	47.2068
19.32	50	47.2068
19.33	50	47.2068
19.34	50	47.2068
19.35	50	47.2068
19.36	50	47.2068
19.37	50	47.2068
19.38	50	47.2068
19.39	50	47.2068
19.4	50	47.2068
19.41	50	47.2068
19.42	50	47.2068
19.43	50	47.2068
19.44	50	47.2068
19.45	50	47.2068
19.46	50	47.2068
19.47	50	47.2068
19.48	50	47.2068
19.49	50	47.2068
19.5	50	47.2068
19.51	50	47.2068
19.52	50	47.2068
19.53	50	47.2068
19.54	50	47.2068
19.55	50	47.2068
19.56	50	47.2068
19.57	50	47.2068
19.58	50	47.2068
19.59	50	47.2068
19.6	50	47.2068
19.61	50	47.2068
19.62	50	47.2068
19.63	50	47.2068
19.64	50	47.2068
19.65	50	47.2068
19.66	50	47.2068
19.67	50	47.2068
19.68	50	47.2068
19.69	50	47.2068
19.7	50	47.2068
19.71	50	47.2068
19.72	50	47.2068
19.73	50	47.2068
19.74	50	47.2068
19.75	50	47.2068
19.76	50	47.2068
19.77	50	47.2068
19.78	50	47.2068
19.79	50	47.2068
19.8	50	47.2068
19.81	50	47.2068
19.82	50	47.2068
19.83	50	47.2068
19.84	50	47.2068
19.85	50	47.2068
19.86	50	47.2068
19.87	50	47.2068
19.88	50	47.2068
19.89	50	47.2068
19.9	50	47.2068
19.91	50	47.2068
19.92	50	47.2068
19.93	50	47.2068
19.94	50	47.2068
19.95	50	47.2068
19.96	50	47.2068
19.97	50	47.2068
19.98	50	47.2068
19.99	50	47.2068
20	50	47.2068
20.01	50	47.2068
20.02	50	47.2068
20.03	50	47.2068
20.04	50	47.2068
20.05	50	47.2068
20.06	50	47.2068
20.07	50	47.2068
20.08	50	47.2068
20.09	50	47.2068
20.1	50	47.2068
20.11	50	47.2068
20.12	50	47.2068
20.13	50	47.2068
20.14	50	47.2068
20.15	50	47.2068
20.16	50	47.2068
20.17	50	47.2068
20.18	50	47.2068
20.19	50	47.2068
